CEDAR
Epoch [112/150], Loss: 0.0485 ;  Train Accuracy: 82.15% ; Test Accuracy: 67.99%
Epoch [113/150], Loss: 0.0477 ;  Train Accuracy: 84.00% ; Test Accuracy: 62.88%
Epoch [114/150], Loss: 0.0460 ;  Train Accuracy: 83.38% ; Test Accuracy: 68.56%
Epoch [115/150], Loss: 0.0449 ;  Train Accuracy: 84.71% ; Test Accuracy: 68.56%
Epoch [116/150], Loss: 0.0440 ;  Train Accuracy: 84.28% ; Test Accuracy: 65.34%
Epoch [117/150], Loss: 0.0493 ;  Train Accuracy: 82.58% ; Test Accuracy: 69.51%
Epoch [118/150], Loss: 0.0456 ;  Train Accuracy: 83.29% ; Test Accuracy: 60.80%
Epoch [119/150], Loss: 0.0476 ;  Train Accuracy: 82.20% ; Test Accuracy: 55.68%
Epoch [120/150], Loss: 0.0427 ;  Train Accuracy: 84.52% ; Test Accuracy: 57.95%
Epoch [121/150], Loss: 0.0446 ;  Train Accuracy: 84.71% ; Test Accuracy: 65.72%
Epoch [122/150], Loss: 0.0472 ;  Train Accuracy: 83.00% ; Test Accuracy: 53.41%
Epoch [123/150], Loss: 0.0465 ;  Train Accuracy: 84.33% ; Test Accuracy: 64.58%
Epoch [124/150], Loss: 0.0446 ;  Train Accuracy: 84.47% ; Test Accuracy: 62.12%
Epoch [125/150], Loss: 0.0450 ;  Train Accuracy: 83.90% ; Test Accuracy: 66.86%
Epoch [126/150], Loss: 0.0437 ;  Train Accuracy: 84.42% ; Test Accuracy: 64.96%
Epoch [127/150], Loss: 0.0448 ;  Train Accuracy: 84.04% ; Test Accuracy: 63.83%
Epoch [128/150], Loss: 0.0435 ;  Train Accuracy: 84.47% ; Test Accuracy: 62.69%
Epoch [129/150], Loss: 0.0439 ;  Train Accuracy: 84.56% ; Test Accuracy: 71.21%
Epoch [130/150], Loss: 0.0424 ;  Train Accuracy: 85.18% ; Test Accuracy: 70.27%
Epoch [131/150], Loss: 0.0430 ;  Train Accuracy: 85.27% ; Test Accuracy: 60.42%
Epoch [132/150], Loss: 0.0424 ;  Train Accuracy: 85.42% ; Test Accuracy: 66.48%
Epoch [133/150], Loss: 0.0441 ;  Train Accuracy: 84.38% ; Test Accuracy: 64.96%
Epoch [134/150], Loss: 0.0443 ;  Train Accuracy: 84.47% ; Test Accuracy: 61.17%
Epoch [135/150], Loss: 0.0430 ;  Train Accuracy: 84.61% ; Test Accuracy: 66.86%
Epoch [136/150], Loss: 0.0455 ;  Train Accuracy: 83.71% ; Test Accuracy: 64.96%
Epoch [137/150], Loss: 0.0425 ;  Train Accuracy: 85.23% ; Test Accuracy: 74.24%
Epoch [138/150], Loss: 0.0407 ;  Train Accuracy: 86.46% ; Test Accuracy: 77.46%
Epoch [139/150], Loss: 0.0414 ;  Train Accuracy: 85.27% ; Test Accuracy: 61.36%
Epoch [140/150], Loss: 0.0400 ;  Train Accuracy: 86.17% ; Test Accuracy: 67.42%
Epoch [141/150], Loss: 0.0398 ;  Train Accuracy: 86.46% ; Test Accuracy: 66.86%
Epoch [142/150], Loss: 0.0417 ;  Train Accuracy: 84.75% ; Test Accuracy: 74.05%
Epoch [143/150], Loss: 0.0417 ;  Train Accuracy: 84.99% ; Test Accuracy: 66.10%
Epoch [144/150], Loss: 0.0407 ;  Train Accuracy: 86.65% ; Test Accuracy: 74.62%
Epoch [145/150], Loss: 0.0395 ;  Train Accuracy: 86.79% ; Test Accuracy: 71.02%
Epoch [146/150], Loss: 0.0421 ;  Train Accuracy: 84.94% ; Test Accuracy: 74.81%
Epoch [147/150], Loss: 0.0399 ;  Train Accuracy: 86.17% ; Test Accuracy: 71.21%
Epoch [148/150], Loss: 0.0402 ;  Train Accuracy: 86.13% ; Test Accuracy: 71.59%
Epoch [149/150], Loss: 0.0405 ;  Train Accuracy: 85.56% ; Test Accuracy: 79.17%
Epoch [150/150], Loss: 0.0405 ;  Train Accuracy: 85.75% ; Test Accuracy: 72.16%
Best acc: 0.9545454545454546 with corresponding loss: 0.08493778098261717


Samara Inverse с аугментациями:
Epoch [48/50], Loss: 0.1060 ;  Train Accuracy: 80.47% ; Test Accuracy: 92.19%
Epoch [49/50], Loss: 0.0950 ;  Train Accuracy: 85.16% ; Test Accuracy: 67.19%
Epoch [50/50], Loss: 0.1162 ;  Train Accuracy: 80.86% ; Test Accuracy: 87.50%
Best acc: 0.921875 with corresponding loss: 0.09878288059553597

Samara Inverse без аугментаций:
Epoch [69/80], Loss: 0.0443 ;  Train Accuracy: 91.02% ; Test Accuracy: 95.31%
Epoch [70/80], Loss: 0.0245 ;  Train Accuracy: 96.48% ; Test Accuracy: 84.38%
Epoch [71/80], Loss: 0.0285 ;  Train Accuracy: 96.09% ; Test Accuracy: 87.50%
Epoch [72/80], Loss: 0.0652 ;  Train Accuracy: 88.28% ; Test Accuracy: 84.38%
Epoch [73/80], Loss: 0.0310 ;  Train Accuracy: 94.53% ; Test Accuracy: 92.19%
Epoch [74/80], Loss: 0.0346 ;  Train Accuracy: 94.14% ; Test Accuracy: 82.81%
Epoch [75/80], Loss: 0.0359 ;  Train Accuracy: 94.53% ; Test Accuracy: 89.06%
Epoch [76/80], Loss: 0.0408 ;  Train Accuracy: 92.58% ; Test Accuracy: 84.38%
Epoch [77/80], Loss: 0.0327 ;  Train Accuracy: 92.97% ; Test Accuracy: 84.38%
Epoch [78/80], Loss: 0.0232 ;  Train Accuracy: 97.27% ; Test Accuracy: 87.50%
Epoch [79/80], Loss: 0.0211 ;  Train Accuracy: 97.66% ; Test Accuracy: 84.38%
Epoch [80/80], Loss: 0.0279 ;  Train Accuracy: 96.48% ; Test Accuracy: 81.25%
Best acc: 0.953125 with corresponding loss: 0.04106427680380875

Samara с аугментациями:
Epoch [172/200], Loss: 0.0274 ;  Train Accuracy: 94.92% ; Test Accuracy: 98.44%
Epoch [173/200], Loss: 0.0196 ;  Train Accuracy: 97.66% ; Test Accuracy: 92.19%
….
Epoch [198/200], Loss: 0.0427 ;  Train Accuracy: 91.41% ; Test Accuracy: 92.19%
Epoch [199/200], Loss: 0.0338 ;  Train Accuracy: 93.36% ; Test Accuracy: 95.31%
Epoch [200/200], Loss: 0.0394 ;  Train Accuracy: 92.19% ; Test Accuracy: 92.19%
Best acc: 0.984375 with corresponding loss: 0.027385719590256485


Samara без аугментаций:
Epoch [191/200], Loss: 0.0202 ;  Train Accuracy: 95.70% ; Test Accuracy: 100.00%
Epoch [192/200], Loss: 0.0190 ;  Train Accuracy: 97.27% ; Test Accuracy: 96.88%
Epoch [193/200], Loss: 0.0389 ;  Train Accuracy: 91.41% ; Test Accuracy: 98.44%
Epoch [194/200], Loss: 0.0238 ;  Train Accuracy: 94.92% ; Test Accuracy: 100.00%
Epoch [195/200], Loss: 0.0193 ;  Train Accuracy: 96.48% ; Test Accuracy: 96.88%
Epoch [196/200], Loss: 0.0170 ;  Train Accuracy: 96.88% ; Test Accuracy: 98.44%
Epoch [197/200], Loss: 0.0157 ;  Train Accuracy: 96.88% ; Test Accuracy: 96.88%
Epoch [198/200], Loss: 0.0232 ;  Train Accuracy: 94.92% ; Test Accuracy: 96.88%
