CEDAR
Epoch [123/200], Loss: 0.0705 ;  Train Accuracy: 87.78% ; Test Accuracy: 85.98%
Epoch [124/200], Loss: 0.0663 ;  Train Accuracy: 88.83% ; Test Accuracy: 86.55%
Epoch [125/200], Loss: 0.0655 ;  Train Accuracy: 89.02% ; Test Accuracy: 87.12%
Epoch [126/200], Loss: 0.0637 ;  Train Accuracy: 88.92% ; Test Accuracy: 87.31%
Epoch [127/200], Loss: 0.0701 ;  Train Accuracy: 88.68% ; Test Accuracy: 86.36%
Epoch [128/200], Loss: 0.0624 ;  Train Accuracy: 90.01% ; Test Accuracy: 87.12%
Epoch [129/200], Loss: 0.0621 ;  Train Accuracy: 90.39% ; Test Accuracy: 88.07%
Epoch [130/200], Loss: 0.0650 ;  Train Accuracy: 88.73% ; Test Accuracy: 79.92%
Epoch [131/200], Loss: 0.0625 ;  Train Accuracy: 89.82% ; Test Accuracy: 88.07%
Epoch [132/200], Loss: 0.0616 ;  Train Accuracy: 89.73% ; Test Accuracy: 85.23%
Epoch [133/200], Loss: 0.0569 ;  Train Accuracy: 90.10% ; Test Accuracy: 87.88%
Epoch [134/200], Loss: 0.0569 ;  Train Accuracy: 89.73% ; Test Accuracy: 87.88%
Epoch [135/200], Loss: 0.0574 ;  Train Accuracy: 90.44% ; Test Accuracy: 87.88%
Epoch [136/200], Loss: 0.0573 ;  Train Accuracy: 90.53% ; Test Accuracy: 87.12%
Epoch [137/200], Loss: 0.0560 ;  Train Accuracy: 90.67% ; Test Accuracy: 86.36%
Epoch [138/200], Loss: 0.0613 ;  Train Accuracy: 89.87% ; Test Accuracy: 86.17%
Epoch [139/200], Loss: 0.0580 ;  Train Accuracy: 90.67% ; Test Accuracy: 85.80%
Epoch [140/200], Loss: 0.0579 ;  Train Accuracy: 91.15% ; Test Accuracy: 87.50%
Epoch [141/200], Loss: 0.0557 ;  Train Accuracy: 90.39% ; Test Accuracy: 86.36%
Epoch [142/200], Loss: 0.0519 ;  Train Accuracy: 91.57% ; Test Accuracy: 81.25%
Epoch [143/200], Loss: 0.0532 ;  Train Accuracy: 90.72% ; Test Accuracy: 86.93%
Epoch [144/200], Loss: 0.0548 ;  Train Accuracy: 91.10% ; Test Accuracy: 87.31%
Epoch [145/200], Loss: 0.0508 ;  Train Accuracy: 92.00% ; Test Accuracy: 87.31%
Epoch [146/200], Loss: 0.0533 ;  Train Accuracy: 91.15% ; Test Accuracy: 88.64%
Epoch [147/200], Loss: 0.0486 ;  Train Accuracy: 91.90% ; Test Accuracy: 86.93%
Epoch [148/200], Loss: 0.0490 ;  Train Accuracy: 92.14% ; Test Accuracy: 87.31%
Epoch [149/200], Loss: 0.0544 ;  Train Accuracy: 91.05% ; Test Accuracy: 85.98%
Epoch [150/200], Loss: 0.0500 ;  Train Accuracy: 91.67% ; Test Accuracy: 87.31%
Epoch [151/200], Loss: 0.0498 ;  Train Accuracy: 91.76% ; Test Accuracy: 85.80%
Epoch [152/200], Loss: 0.0504 ;  Train Accuracy: 91.05% ; Test Accuracy: 90.15%
Epoch [153/200], Loss: 0.0468 ;  Train Accuracy: 92.71% ; Test Accuracy: 90.15%
Epoch [154/200], Loss: 0.0461 ;  Train Accuracy: 92.42% ; Test Accuracy: 89.77%
Epoch [155/200], Loss: 0.0460 ;  Train Accuracy: 92.42% ; Test Accuracy: 84.85%
Epoch [156/200], Loss: 0.0448 ;  Train Accuracy: 92.19% ; Test Accuracy: 86.17%
Epoch [157/200], Loss: 0.0441 ;  Train Accuracy: 93.18% ; Test Accuracy: 88.45%
Epoch [158/200], Loss: 0.0433 ;  Train Accuracy: 93.18% ; Test Accuracy: 87.88%
Epoch [159/200], Loss: 0.0430 ;  Train Accuracy: 93.70% ; Test Accuracy: 89.20%
Epoch [160/200], Loss: 0.0499 ;  Train Accuracy: 92.05% ; Test Accuracy: 85.61%
Epoch [161/200], Loss: 0.0464 ;  Train Accuracy: 92.19% ; Test Accuracy: 87.50%
Epoch [162/200], Loss: 0.0449 ;  Train Accuracy: 92.76% ; Test Accuracy: 89.02%
Epoch [163/200], Loss: 0.0461 ;  Train Accuracy: 93.13% ; Test Accuracy: 82.58%
Epoch [164/200], Loss: 0.0405 ;  Train Accuracy: 93.70% ; Test Accuracy: 88.83%
Epoch [165/200], Loss: 0.0397 ;  Train Accuracy: 93.84% ; Test Accuracy: 86.93%
Epoch [166/200], Loss: 0.0401 ;  Train Accuracy: 93.80% ; Test Accuracy: 86.93%
Epoch [167/200], Loss: 0.0420 ;  Train Accuracy: 92.76% ; Test Accuracy: 89.02%
Epoch [168/200], Loss: 0.0377 ;  Train Accuracy: 94.03% ; Test Accuracy: 88.45%
Epoch [169/200], Loss: 0.0402 ;  Train Accuracy: 93.61% ; Test Accuracy: 90.15%
Epoch [170/200], Loss: 0.0409 ;  Train Accuracy: 93.51% ; Test Accuracy: 90.91%
Epoch [171/200], Loss: 0.0418 ;  Train Accuracy: 93.28% ; Test Accuracy: 86.93%
Epoch [172/200], Loss: 0.0363 ;  Train Accuracy: 94.03% ; Test Accuracy: 89.77%
Epoch [173/200], Loss: 0.0367 ;  Train Accuracy: 94.32% ; Test Accuracy: 90.91%
Epoch [174/200], Loss: 0.0346 ;  Train Accuracy: 94.41% ; Test Accuracy: 86.55%
Epoch [175/200], Loss: 0.0366 ;  Train Accuracy: 94.37% ; Test Accuracy: 89.58%
Epoch [176/200], Loss: 0.0353 ;  Train Accuracy: 94.51% ; Test Accuracy: 88.64%
Epoch [177/200], Loss: 0.0334 ;  Train Accuracy: 94.60% ; Test Accuracy: 87.88%
Epoch [178/200], Loss: 0.0382 ;  Train Accuracy: 94.41% ; Test Accuracy: 88.07%
Epoch [179/200], Loss: 0.0379 ;  Train Accuracy: 94.22% ; Test Accuracy: 90.72%
Epoch [180/200], Loss: 0.0355 ;  Train Accuracy: 94.41% ; Test Accuracy: 88.45%
Epoch [181/200], Loss: 0.0312 ;  Train Accuracy: 94.84% ; Test Accuracy: 87.12%
Epoch [182/200], Loss: 0.0347 ;  Train Accuracy: 94.03% ; Test Accuracy: 89.58%
Epoch [183/200], Loss: 0.0306 ;  Train Accuracy: 95.17% ; Test Accuracy: 91.67%
Epoch [184/200], Loss: 0.0351 ;  Train Accuracy: 94.93% ; Test Accuracy: 90.72%
Epoch [185/200], Loss: 0.0359 ;  Train Accuracy: 94.46% ; Test Accuracy: 88.07%
Epoch [186/200], Loss: 0.0315 ;  Train Accuracy: 95.08% ; Test Accuracy: 90.72%
Epoch [187/200], Loss: 0.0324 ;  Train Accuracy: 95.31% ; Test Accuracy: 85.23%
Epoch [188/200], Loss: 0.0323 ;  Train Accuracy: 95.08% ; Test Accuracy: 90.53%
Epoch [189/200], Loss: 0.0283 ;  Train Accuracy: 95.41% ; Test Accuracy: 91.29%
Epoch [190/200], Loss: 0.0300 ;  Train Accuracy: 94.79% ; Test Accuracy: 90.15%
Epoch [191/200], Loss: 0.0297 ;  Train Accuracy: 95.27% ; Test Accuracy: 89.77%
Epoch [192/200], Loss: 0.0308 ;  Train Accuracy: 95.27% ; Test Accuracy: 89.96%
Epoch [193/200], Loss: 0.0295 ;  Train Accuracy: 95.27% ; Test Accuracy: 88.64%
Epoch [194/200], Loss: 0.0275 ;  Train Accuracy: 95.88% ; Test Accuracy: 91.29%
Epoch [195/200], Loss: 0.0298 ;  Train Accuracy: 95.03% ; Test Accuracy: 87.88%
Epoch [196/200], Loss: 0.0261 ;  Train Accuracy: 94.98% ; Test Accuracy: 89.96%
Epoch [197/200], Loss: 0.0339 ;  Train Accuracy: 94.60% ; Test Accuracy: 90.72%
Epoch [198/200], Loss: 0.0284 ;  Train Accuracy: 95.55% ; Test Accuracy: 90.53%
Epoch [199/200], Loss: 0.0292 ;  Train Accuracy: 95.55% ; Test Accuracy: 89.20%
Epoch [200/200], Loss: 0.0290 ;  Train Accuracy: 95.60% ; Test Accuracy: 90.72%
Best acc: 0.9166666666666666 with corresponding loss: 0.03055144337454432


SAMARA c аугментациями


Samara без аугментаций
Epoch [197/200], Loss: 0.0003 ;  Train Accuracy: 100.00% ; Test Accuracy: 81.25%
Epoch [198/200], Loss: 0.0002 ;  Train Accuracy: 100.00% ; Test Accuracy: 81.25%
Epoch [199/200], Loss: 0.0001 ;  Train Accuracy: 100.00% ; Test Accuracy: 81.25%
